"Stars","Repo","Desc","Lang","Lic","Updated"
,"openags/paper-search-mcp","MCP, CLI, Skills for searching and downloading academic pape","Python",,""
,"worldwonderer/oh-story-claudecode","网文/小说写作 skill 包，覆盖长篇与短篇网络小说的扫榜、拆文、写作、去AI味、封面图全流程","JavaScript",,""
,"Mcp-Brasil/mcp-brasil","MCP Server para 70 APIs públicas brasileiras","Python",,""
,"lst97/claude-code-sub-agents","Collection of specialized AI subagents for Claude Code for p","",,""
,"isaacphi/mcp-language-server","mcp-language-server gives MCP enabled clients access semanti","Go",,""
,"feiskyer/claude-code-settings","Claude Code settings, commands and agents for vibe coding","Python",,""
,"Prismer-AI/PrismerCloud","Prismer Cloud","TypeScript",,""
,"rulego/rulego","⛓️RuleGo is a lightweight, high-performance, embedded, next-","Go",,""
,"datagouv/datagouv-mcp","Official data.gouv.fr Model Context Protocol (MCP) server th","Python",,""
,"browser-act/skills","Browser automation CLI built for AI agents. Break through an","Python",,""
,"ballred/obsidian-claude-pkm","A complete starter kit for an Obsidian + Claude Code persona","Shell",,""
,"webfuse-com/awesome-claude","A curated list of awesome things related to Anthropic Claude","TypeScript",,""
,"PaperDebugger/paperdebugger","A Plugin-Based Multi-Agent System for In-Editor Academic Wri","TypeScript",,""
,"ghostwright/ghost-os","Full computer-use for AI agents. Self-learning workflows. Na","Swift",,""
,"universal-tool-calling-protocol/code-mode","🔌 Plug-and-play library to enable agents to call MCP and UT","Python",,""
,"openedclaude/claude-reviews-claude","Claude reads its own source code — 17-chapter architectural ","",,""
,"BlackSnufkin/LitterBox","A self-hosted sandbox for red teams to test payloads against","YARA",,""
,"OpenCoworkAI/open-cowork","Open-source AI agent desktop app for Windows & macOS. One-cl","TypeScript",,""
,"SnailSploit/Claude-Red","claude-red is a curated library of offensive security skills","Python",,""
,"Azure/data-api-builder","Data API builder provides modern REST, GraphQL endpoints and","C#",,""
,"qdrant/mcp-server-qdrant","An official Qdrant Model Context Protocol (MCP) server imple","Python",,""
,"jhlee0409/claude-code-history-viewer","desktop app to browse and analyze your Claude Code conversat","TypeScript",,""
,"rivet-dev/sandbox-agent","Run Coding Agents in Sandboxes. Control Them Over HTTP. Supp","TypeScript",,""
,"alpic-ai/skybridge","Skybridge is a full-stack TypeScript framework for MCP Apps ","TypeScript",,""
,"eugeniughelbur/obsidian-second-brain","Cross-CLI skill for Obsidian. Turns your vault into a living","Python",,""
,"DeadWaveWave/opencove","Your infinite canvas workspace for agents, tasks, knowledge,","TypeScript",,""
,"NPC-Worldwide/npcpy","The python library for research and development in NLP, mult","Python",,""
,"CloudAI-X/claude-workflow-v2","Universal Claude Code workflow plugin with agents, skills, h","Python",,""
,"kenryu42/claude-code-safety-net","A coding agent hook that acts as a safety net, catching dest","TypeScript",,""
,"xintaofei/codeg","Collaborative multi-agent AI coding workspace: aggregate ses","TypeScript",,""
,"taielab/awesome-hacking-lists","A curated collection of top-tier penetration testing tools a","","none",""
,"OpenRaiser/NanoResearch","🦞+🔬 NanoResearch: The Autonomous AI Research Assistant","Python",,""
,"m0n0x41d/haft","Engineering decisions engine that know when they're stale. F","Go",,""
,"VILA-Lab/Dive-into-Claude-Code","A Systematic Analysis and Discussion of Claude Code for Desi","",,""
,"poco-ai/poco-claw","A more beautiful and easier-to-use alternative to OpenClaw. ","Python",,""
,"evilsocket/nerve","The Simple Agent Development Kit.","Python",,""
,"Natively-AI-assistant/natively-cluely-ai-assistant","Natively - Free open-source AI interview copilot & meeting a","TypeScript",,""
,"yohey-w/multi-agent-shogun","Samurai-inspired multi-agent system for Claude Code. Orchest","Shell",,""
,"svnscha/mcp-windbg","Model Context Protocol for WinDBG","Python",,""
,"jayminwest/overstory","Multi-agent orchestration for AI coding agents — pluggable r","TypeScript",,""
,"sourcey/sourcey","Precision documentation from OpenAPI, MCP, Doxygen, and Mark","TypeScript",,""
,"kimsungwhee/apple-docs-mcp","MCP server for Apple Developer Documentation - Search iOS/ma","TypeScript",,""
,"Windy3f3f3f3f/claude-code-from-scratch","Build your own Claude Code from scratch. 🔍 Claude Code 开源了 ","Python",,""
,"chunkhound/chunkhound","Local first codebase intelligence","Python",,""
,"apify/apify-mcp-server","The Apify MCP server enables your AI agents to extract data ","TypeScript",,""
,"skills-directory/skill-codex","A claude code skill to delegate prompts to codex","",,""
,"Priivacy-ai/spec-kitty","Spec-Driven Development for serious software developers. Spe","Python",,""
,"Prat011/awesome-llm-skills","A curated list of awesome LLM and AI Agent Skills, resources","Python","none",""
,"designcomputer/mysql_mcp_server","A Model Context Protocol (MCP) server that enables secure in","Python",,""
,"qdhenry/Claude-Command-Suite","Professional slash commands for Claude Code that provide str","Shell","none",""
,"joey-zhou/xiaozhi-esp32-server-java","小智ESP32的Java企业级管理平台，提供设备监控、音色定制、角色切换和对话记录管理的前后端及服务端一体化解决方案","Java",,""
,"oh-my-mermaid/oh-my-mermaid","Turn complex codebases into clear, navigable architecture di","TypeScript",,""
,"open-gsd/get-shit-done-redux","Getting Shit Done, the Aftermath","JavaScript",,""
,"study8677/antigravity-workspace-template","Multi-agent knowledge engine (ag-refresh / ag-ask) that turn","Python",,""
,"robotmcp/ros-mcp-server","Connect AI models like Claude & GPT with robots using MCP an","Python",,""
,"refreshdotdev/web-eval-agent","An MCP server that autonomously evaluates web applications. ","Python",,""
,"caol64/wenyan-mcp","文颜 MCP Server 可以让 AI 自动将 Markdown 文章排版后发布至微信公众号。","JavaScript",,""
,"grafbase/grafbase","[Acquired by The Guild] The Grafbase GraphQL Federation Gate","Rust",,""
,"codeaholicguy/ai-devkit","Make AI coding agents follow a repeatable engineering workfl","TypeScript","none",""
,"yigitkonur/cli-continues","resume any AI coding session in another tool — Claude Code, ","TypeScript",,""
,"xenodium/agent-shell","A native Emacs buffer to interact with LLM agents powered by","Emacs Lisp",,""
,"jau123/MeiGen-AI-Design-MCP","Supports GPT Image 2, Nanobanana & ComfyUI, with a 1,400+ pr","TypeScript",,""
,"0xMassi/webclaw","Fast, local-first web content extraction for LLMs. Scrape, c","Rust",,""
,"d-kimuson/claude-code-viewer","A full-featured web-based Claude Code client that provides c","TypeScript",,""
,"Devin-AXIS/A2V","","TypeScript","none",""
,"mbailey/voicemode","Natural voice conversations with Claude Code","Python",,""
,"umputun/ralphex","Extended Ralph loop for autonomous AI-driven plan execution","Go",,""
,"0Chencc/clawgod","This is NOT a third-party Claude Code client. ClawGod is a r","HTML",,""
,"inkeep/agents","Create AI Agents in a No-Code Visual Builder or TypeScript S","TypeScript",,""
,"elementalsouls/Claude-BugHunter","A Claude Code skill bundle for bug hunting and external red-","Python",,""
,"udecode/dotai","Context manager for all agents","Shell","none",""
,"gyoridavid/short-video-maker","Creates short videos for TikTok, Instagram Reels, and YouTub","TypeScript",,""
,"wbopan/cui","A web UI for Claude Code agents","TypeScript",,""
,"greyhaven-ai/autocontext","a recursive self-improving harness designed to help your age","Python",,""
,"drhelius/Gearboy","Game Boy / Game Boy Color / Super Game Boy emulator, debugge","C++",,""
,"Dataojitori/nocturne_memory","A lightweight, rollbackable, and visual Long-Term Memory Ser","Python",,""
,"Ido-Levi/Hephaestus","Semi-Structured Agentic Framework. Workflows build themselve","Python",,""
,"AI-QL/tuui","A desktop MCP client designed as a tool unitary utility inte","TypeScript",,""
,"dohooo/helmor","Open-source local workbench for multi-agent software develop","TypeScript",,""
,"minsight-ai-info/AI-Search-Hub","One Query. All Search Skill. 聚合 Gemini、Grok、豆包、元宝等平台原生 AI 搜索","Python","none",""
,"kbwo/ccmanager","Coding Agent Session Manager for Claude Code / Gemini CLI / ","TypeScript",,""
,"samuelgursky/davinci-resolve-mcp","MCP server integration for DaVinci Resolve Studio","Python",,""
,"datalayer/jupyter-mcp-server","🪐 🔧 Model Context Protocol (MCP) Server for Jupyter.","Python",,""
,"wondelai/skills","Agent skills for Claude Code and other agentskills.io-compat","Shell",,""
,"hesamsheikh/octogent","A thin orchestration dashboard over Claude Code for managing","TypeScript",,""
,"ref-tools/ref-tools-mcp","Helping coding agents never make mistakes working with publi","TypeScript",,""
,"nex-crm/wuphf","WUPHF is a collaborative office of AI employees who build an","Go",,""
,"itsmostafa/aws-agent-skills","AWS Skills for Agents","Python",,""
,"cgoinglove/better-chatbot","Just a Better Chatbot. Powered by Agent & MCP & Workflows.","TypeScript",,""
,"alexgreensh/token-optimizer","Find the ghost tokens. Fix them. Survive compaction. Avoid c","Python",,""
,"wasabeef/claude-code-cookbook","A collection of settings to make Claude Code more useful.","Shell","none",""
,"Owloops/claude-powerline","Beautiful vim-style powerline for Claude Code","TypeScript",,""
,"nrslib/takt","TAKT Agent Koordination Topology - Define how AI agents coor","TypeScript",,""
,"DenisSergeevitch/agents-best-practices","Provider-neutral Agent Skill for Codex, Claude Code, and age","",,""
,"caliber-ai-org/ai-setup","Continuously sync your AI setups with one command. Codebase ","TypeScript",,""
,"sheshbabu/zen","Selfhosted notes app. Single golang binary, notes stored as ","JavaScript",,""
,"jnMetaCode/agency-orchestrator","🚀 One sentence → multi-AI-role collaboration → complete pla","TypeScript",,""
,"ridafkih/keeper.sh","Calendar sync tool & universal calendar MCP server. Aggregat","TypeScript",,""
,"asciimoo/hister","Your own search engine","Go",,""
,"Ataraxy-Labs/opensessions","tmux sidebar for coding agents — Amp, Claude Code, Codex, Op","Rust","none",""
